Average Polarized Winner,Harmonic Utility,Least Polarized Winner,Linear Utility,LogProduct Utility,Maximin Support,Maximum Utility,Most Blocking Loser,Most Polarized Winner,PreferredToRule,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
0.10803970269857151,0.5274925919658876,0.10292625646156418,1.0684666666666667,-0.13734984356513244,0.2216249999999999,0.221625,1.254,0.11342399644266576,0.0,3.7029107153576746,0.15336473618753818,2.1372245594036405e-5,1087469462418394240,AS,6,0.14469226284156977
0.10803970269857151,0.5274925919658876,0.10292625646156418,1.0684666666666667,-0.13734984356513244,0.2216249999999999,0.221625,1.254,0.11342399644266576,0.0,3.7029107153576746,0.15336473618753818,2.1372245594036405e-5,1087469462418394240,DRB1,6,0.14469226284156977
0.09742077245798825,0.6697362937035332,0.06811762297815574,0.9655083333333333,0.02614295973307151,0.31965000000000016,0.3653416666666667,0.813,0.11342399644266576,-1.0,1.6067902478322489,0.17105307646878995,0.0004211619247691505,1087469462418394240,DRB2,6,0.14469226284156977
0.10803970269857154,0.5274925919658876,0.10292625646156418,1.0684666666666667,-0.13734984356513244,0.221625,0.221625,1.254,0.11342399644266576,-1.0,3.7029107153576746,0.15336473618753818,2.13722455940364e-5,1087469462418394240,DRB3,6,0.14469226284156977
0.09742077245798825,0.6697362937035332,0.06811762297815574,0.9655083333333333,0.02614295973307151,0.31965000000000016,0.3653416666666667,0.813,0.11342399644266576,-1.0,1.6067902478322489,0.17105307646878995,0.0004211619247691505,1087469462418394240,DRB4,6,0.14469226284156977
0.09742077245798825,0.6697362937035332,0.06811762297815574,0.9655083333333333,0.02614295973307151,0.31965000000000016,0.3653416666666667,0.813,0.11342399644266576,-1.0,1.6067902478322489,0.17105307646878995,0.0004211619247691505,1087469462418394240,EAZ,6,0.14469226284156977
0.10803970269857154,0.5274925919658876,0.10292625646156418,1.0684666666666667,-0.13734984356513244,0.221625,0.221625,1.254,0.11342399644266576,-1.0,3.7029107153576746,0.15336473618753818,2.13722455940364e-5,1087469462418394240,MES_ExLR,6,0.14469226284156977
0.050611980538880524,0.35286218956000015,0.04005335306542165,0.47377500000000006,-0.3112713330124069,0.16906578947368422,0.217275,1.485,0.05891667361458499,1.0,0.9355434933438945,0.13470295362959245,5.162728878585925e-5,1087469462418394240,STV,6,0.14469226284156977
0.08696696612194987,0.812740605908712,0.07371793667667162,1.0295333333333334,0.18597965513126602,0.3021966666666666,0.4618416666666667,0.168,0.10769683723806357,0.0,0.9992235050858758,0.14317372290311822,0.00018263190328208524,837571398484869376,AS,6,0.4600453619584359
0.08696696612194987,0.812740605908712,0.07371793667667162,1.0295333333333334,0.18597965513126602,0.3021966666666666,0.4618416666666667,0.168,0.10769683723806357,0.0,0.9992235050858758,0.14317372290311822,0.00018263190328208524,837571398484869376,DRB1,6,0.4600453619584359
